name,website,addreess,rating,emails
Bird & Branch Coffee Roasters,http://www.birdandbranch.com/,"359 W 45th St, New York, NY 10036, United Stat",4.6,['info@birdandbranch.com']
Stumptown Coffee Roasters,https://stumptowncoffee.craverapp.com/?utm_source=google&utm_medium=food_ordering&utm_campaign=craver,"18 W 29th St, New York, NY 10001, United Stat",4.5,['info@stumptowncoffee.com']
White Noise Coffee - Coffee Shop & Roastery,https://whitenoisecoffee.com/,"829 11th Ave, Manhattan, NY 10019, United Stat",4.7,['support@whitenoisecoffee.com']
La Cabra Bakery,https://us.lacabra.com/pages/east-village,"152 2nd Ave, New York, NY 10003, United Stat",4.7,"['wholesale@lacabra.dk', 'hello.us@lacabra.com', 'wholesale@lacabra.com', 'bakery@lacabrany.com', 'jobs@lacabra.com']"
Gumption Coffee,http://places.singleplatform.com/gumption-coffee/menu?ref=google,"106 W 45th St, New York, NY 10036, United Stat",4.5,['info@gumptioncoffee.com']
Coffee Project New York | East Village,https://coffeeprojectnyshop.square.site/?owg-fulfillment=pickup&fulfillment=PICKUP&location=11ea5be66ac7aac6bd870cc47a2b63e4&location_id=2ZANKQVWJY9QB&rwg_token=ACgRB3f3GEKUiT41oFQvTRsTODPQIjnLsBmU7vV4buraqAh4OJlblv-X-xRlJdNGSNSvcVHXEsTqLcWceIFYAvGwqXbDRzMa0MzavAjMHz-yxRD0KsCmAFA%3D,"239 E 5th St, New York, NY 10003, United Stat",4.7,['info@coffeeprojectny.com']
Copper Mug Coffee,http://www.thecoppermugcoffee.com/,"38 W 30th St, New York, NY 10001, United Stat",4.8,"['coppermugcoffee@gmail.com', 'info@coppermugcoffee.com']"
Solid State Coffee,https://takeout.solidstatecoffee.com/?owg-fulfillment=pickup&fulfillment=PICKUP&location=11ecf637b41c7e8fb384ac1f6bbba82c&location_id=L3WXJPCASGTKE&rwg_token=ACgRB3fKAkf_bcDX3vcJ6qIdwFNr1lOO5vUv4nbaW50_R8O8058BNHLWOXJpW0lTw3fymsb0lolklwe45J6EcoFpZ7iCXx3mS2OoChAZxOwQKTfKk7CLnUQ%3D,"104 W 71st St, New York, NY 10023, United Stat",4.7,['info@solidstatecoffee.com']
The Lost Draft,http://thelostdraft.com/,"398 Broome St, New York, NY 10013, United Stat",4.6,['info@thelostdraft.com']
La Cabra,https://us.lacabra.com/pages/soho,"284 Lafayette St, New York, NY 10012, United Stat",4.5,['soho@lacabra.com']
Urban Backyard,https://www.urbanbackyardnyc.com/menu,"180 Mulberry St, New York, NY 10012, United Stat",4.8,['hello@urbanbackyardnyc.com']
Ariston Coffee Bar,http://www.aristonflowers.com/,"78 5th Ave, New York, NY 10011, United Stat",4.6,['info@aristonflowers.com']
Suited NYC,https://suitednyc.getbento.com/online-ordering,"45 John St, New York, NY 10038, United Stat",4.7,['info@suitednyc.com']
Ground Central Coffee Company,https://www.groundcentral.com/?owg-fulfillment=pickup&fulfillment=PICKUP&location=11ed95b097c654aaa7d7ac1f6bbba828&location_id=LQM464FRGTD4B&rwg_token=ACgRB3fE40ZLsgxSWx7NXHDk78vPgljaGe3RkNYTzWqKkmSeF3NyY_L9uhe7SE5QzBcqt_tZkDWL27c-xMuhpknuqlPiIPaXru5OfZ7qEztRJ85j0ypWZTw%3D,"888 8th Ave, New York, NY 10019, United Stat",4.5,['info@groundcentral.com']
Afficionado Coffee Roasters,https://acr750.square.site/,"750 11th Ave, New York, NY 10019, United Stat",4.5,['hello@afficionadocoffee.com']
787 Coffee,https://www.787coffee.com/menu,"159 2nd Ave, corner of, E 10th St, New York, NY 10003, United Stat",4.8,['hello@787coffee.com']
